ean_hotel_id,name,address1,city,state_province,postal_code,latitude,longitude,star_rating,high_rate,low_rate
538343,Home2 Suites by Hilton Albany Airport/Wolf Rd,10 Metro Park Road,Albany,NY,12205,42.71852,-73.80022,2.5,164.42,123.42
467917,Staybridge Suites Albany Wolf Rd-Colonie Center,39 Wolf Rd,Albany,NY,12205,42.71138,-73.81812,3,159.085,119.0063
480979,Fairfield Inn & Suites by Marriott Albany Downtown,74 State Street,Albany,NY,12207,42.64955,-73.75223,2.5,149.4,139.4
539733,Renaissance Albany Hotel,144 State Street,Albany,NY,12207,42.65077,-73.75591,3.5,329.0349,229.0411
573120,Red Carpet Inn & Suites - Albany Airport,1579 Central Avenue,Albany,NY,12205,42.71668,-73.83046,2.5,62.9948,60.0006
255460,Gallets House B&B,1759 Four Mile Rd,Allegany,NY,14706,42.07667,-78.49657,2.5,140.3,139.3
449674,Tailwater Lodge,52 Pulaski St,Altmar,NY,13302,43.51379,-76.00504,3,129.0155,129
231177,Homewood Suites by Hilton Buffalo/Amherst,1138 Millersport Hwy,Amherst,NY,14226,42.9824,-78.79638,3,239.1,177.85
116591,DoubleTree by Hilton Hotel Buffalo - Amherst,10 Flint Rd,Amherst,NY,14226,42.99028,-78.79224,3.5,160.45,159.45
203763,Comfort Inn University,1 Flint Rd,Amherst,NY,14226,42.99059,-78.79215,2.5,87.25,68.04
127175,Red Roof Inn PLUS+ University at Buffalo - Amherst,42 Flint Rd,Amherst,NY,14226,42.98985,-78.79244,2.5,80.99,79.99
269877,Residence Inn Buffalo Amherst,100 Maple Rd,Amherst,NY,14221,42.99139,-78.78401,3,140.035,139.035
106439,Buffalo Marriott Niagara,1340 Millersport Hwy,Amherst,NY,14221,42.98891,-78.79161,3.5,209.09,127.07
136100,Extended Stay America - Buffalo - Amherst,125 Inn Keepers Ln,Amherst,NY,14228,43.00567,-78.81827,2.5,75.67,65.17
436980,Staybridge Suites Buffalo-Amherst,1290 Sweethome Rd,Amherst,NY,14228,42.99702,-78.7998,3,290.45,136.45
276923,Courtyard by Marriott Buffalo Amherst/University,4100 Sheridan Dr,Amherst,NY,14221,42.97846,-78.7808,3,154.32,129.32
143109,Sleep Inn,75 Inn Keepers Ln,Amherst,NY,14228,43.00635,-78.81913,2,85.5604,72.0492
458792,Motel 6 Buffalo - Amherst,4400 Maple Rd,Amherst,NY,14226,42.99072,-78.80194,2,55.047,52.0082
